RespondentID,Gender,What is your ethnicity?,What is your age group?,How far is your school and/or work from where you live?,How often do you commute to school and/or work by car/your own motorized vehicle,How often do you commute to school and/or work by public transit,How often do you commute to school and/or work by bike,How often do you commute to school and/or work by walking,"When you are NOT commuting to school and/or work, how often do you bike?","If you have children under the age of 18, do you allow them to bike and/or walk to school?",Do you know of any children that have been hit by a car while biking and/or walking in your city?,Have you or any adult you know been hit by a car while biking and/or walking in your city?,"When you bike/walk, is it to commute?","When you bike/walk, is it to be environmentally friendly?","When you bike/walk, is it for recreation?","When you bike/walk, is it for exercise?"
4992625886,Female,,26-35,11-20 miles,1-2 times per week,,1-2 times per week,5+ times per week,1-2 days per week,Yes,No,No,,,,
4992623775,Female,Hispanic or Latino,46-55,Under 2 miles,3-4 times per week,,,Never,3-4 days per week,,,,,Be Environmentally Friendly,,
4992619106,Female,Hispanic or Latino,26-35,2-5 miles,5+ times per week,,,,3-4 days per week,No,No,"Yes, biking",,,,Exercise (not on a stationary bike)
4992615991,Female,Hispanic or Latino,46-55,2-5 miles,,,,5+ times per week,,Yes,No,"Yes, walking",,,,Exercise (not on a stationary bike)
4992612181,Female,Hispanic or Latino,46-55,Under 2 miles,Never,,,,,Yes,Yes,,,,,Exercise (not on a stationary bike)
4992604990,Female,Hispanic or Latino,46-55,Under 2 miles,1-2 times per week,1-2 times per week,,5+ times per week,,Yes,No,No,To commute to school or work,,,
4992601402,Female,Hispanic or Latino,36-45,2-5 miles,1-2 times per week,1-2 times per month,3-4 times per week,1-2 times per month,1-2 days per week,No,,,To commute to school or work,Be Environmentally Friendly,,
4992523178,Female,Decline to state,18-25,2-5 miles,1-2 times per week,3-4 times per week,3-4 times per week,5+ times per week,1-2 days per week,No,Yes,"Yes, biking",To commute to school or work,,,
4992515970,Female,Hispanic or Latino,18-25,,,,,,,No,No,No,,,,
4992510257,Female,Hispanic or Latino,26-35,Under 2 miles,1-2 times per week,,,5+ times per week,,No,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4992499804,Female,Hispanic or Latino,26-35,,,,,,,No,No,No,,,,
4992481113,Female,Hispanic or Latino,Over 56,,,,,,,No,No,,,,,
4992474683,Female,Hispanic or Latino,36-45,Under 2 miles,5+ times per week,Never,Never,Never,,No,Yes,"Yes, biking",,,,
4992467997,Female,Hispanic or Latino,36-45,,,,,,,No,No,"Yes, walking",,,,
4992464300,Female,Hispanic or Latino,Over 56,Under 2 miles,,,,,,No,No,No,,,,
4992459091,Male,Hispanic or Latino,46-55,Under 2 miles,5+ times per week,,,,,,No,No,To commute to school or work,,,
4992453583,Female,Hispanic or Latino,26-35,Under 2 miles,5+ times per week,,,,,Yes,No,No,To commute to school or work,,,
4992447709,Female,Hispanic or Latino,26-35,Under 2 miles,Never,Never,,5+ times per week,,Yes,No,No,To commute to school or work,,,
4992426566,Female,Hispanic or Latino,36-45,Under 2 miles,5+ times per week,Never,Never,1-2 times per week,1-2 days per week,,No,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
4992420514,Female,Hispanic or Latino,46-55,Under 2 miles,1-2 times per month,,,,,Yes,No,No,,Be Environmentally Friendly,,
4992411375,Female,,36-45,Under 2 miles,,,,5+ times per week,,Yes,,,To commute to school or work,,,
4992406510,Female,Hispanic or Latino,46-55,Under 2 miles,,,,5+ times per week,5+ days per week,Yes,No,No,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4992399779,Female,Hispanic or Latino,36-45,Under 2 miles,,,1-2 times per week,1-2 times per week,1-2 days per week,Yes,Yes,"Yes, biking",,,,
4992387742,Female,Hispanic or Latino,36-45,,,,,,,No,No,"Yes, biking",,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4992363124,Female,Hispanic or Latino,36-45,Under 2 miles,,,,5+ times per week,,Yes,No,No,To commute to school or work,Be Environmentally Friendly,,
4992357247,Female,Hispanic or Latino,36-45,6-10 miles,3-4 times per week,Never,Never,1-2 times per week,,Yes,No,No,To commute to school or work,Be Environmentally Friendly,,
4992350614,Female,Hispanic or Latino,26-35,,5+ times per week,Never,Never,1-2 times per week,,No,No,No,,,,Exercise (not on a stationary bike)
4992292767,Female,Hispanic or Latino,36-45,Under 2 miles,,,,5+ times per week,,Yes,No,,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4992221199,Female,Hispanic or Latino,36-45,Under 2 miles,,,,5+ times per week,,No,No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4992214909,Female,Hispanic or Latino,26-35,2-5 miles,5+ times per week,,,,3-4 days per week,No,No,No,,,,
4992206466,Female,Hispanic or Latino,46-55,,,,,,3-4 days per week,No,Yes,"Yes, biking",,,,Exercise (not on a stationary bike)
4992203784,Female,Hispanic or Latino,36-45,,5+ times per week,,,Never,,,,,To commute to school or work,Be Environmentally Friendly,,
4992198372,Female,Hispanic or Latino,36-45,,5+ times per week,Never,Never,1-2 times per week,,No,Yes,No,,,,
4992191765,Female,Hispanic or Latino,36-45,Under 2 miles,5+ times per week,,,,,No,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4992181548,Female,Hispanic or Latino,36-45,2-5 miles,5+ times per week,1-2 times per month,Never,5+ times per week,,No,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,
4974699641,Female,White,Over 56,11-20 miles,5+ times per week,Never,Never,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4974692221,Female,Hispanic or Latino,36-45,,,,,,,No,No,No,,,Recreation,Exercise (not on a stationary bike)
4974689382,Female,Hispanic or Latino,26-35,Over 20 miles,3-4 times per week,,,1-2 times per week,,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
4974684641,Male,Hispanic or Latino,18-25,11-20 miles,3-4 times per week,1-2 times per month,1-2 times per week,1-2 times per month,1-2 times per month,No,No,No,,,,Exercise (not on a stationary bike)
4974679762,Female,Hispanic or Latino,26-35,Under 2 miles,,,,3-4 times per week,,No,No,No,To commute to school or work,,,
4974675953,Female,White,46-55,,,,,,1-2 times per month,Yes,No,,,,,Exercise (not on a stationary bike)
4974671366,Female,White,26-35,Under 2 miles,5+ times per week,,,,1-2 days per week,No,No,No,,Be Environmentally Friendly,Recreation,
4974663221,Male,,13-17,2-5 miles,,5+ times per week,,,,No,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4969843561,Male,White,Over 56,11-20 miles,1-2 times per week,3-4 times per week,Never,Never,1-2 days per week,Yes,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4969828751,Female,Asian,18-25,6-10 miles,3-4 times per week,Never,1-2 times per month,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4969807799,Male,Asian,Under 13,,,,,,5+ days per week,Yes,No,No,,,Recreation,
4969765559,Male,Asian,36-45,,,,,,,Yes,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4969726648,Male,Asian,13-17,2-5 miles,3-4 times per week,Never,3-4 times per week,1-2 times per week,3-4 days per week,Yes,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4964689794,Male,White,46-55,,,,,,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4964685970,Male,Asian,36-45,6-10 miles,3-4 times per week,Never,3-4 times per week,Never,3-4 days per week,Yes,Yes,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4964684990,Male,Other (please specify),46-55,,,,,,1-2 times per month,No,No,No,,,Recreation,
4964598591,Male,White,46-55,6-10 miles,3-4 times per week,1-2 times per week,1-2 times per month,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4964507565,Female,Hispanic or Latino,36-45,6-10 miles,3-4 times per week,Never,Never,Never,1-2 times per month,No,No,No,,,Recreation,
4964362047,Female,White,46-55,,,,,,1-2 times per month,,,,,,Recreation,Exercise (not on a stationary bike)
4964345194,Female,Decline to state,26-35,6-10 miles,1-2 times per week,Never,3-4 times per week,Never,1-2 days per week,,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4964339036,Female,Hispanic or Latino,Over 56,Under 2 miles,5+ times per week,Never,Never,Never,1-2 days per week,No,Yes,"Yes, walking",,,Recreation,Exercise (not on a stationary bike)
4964333608,Female,Asian,26-35,11-20 miles,3-4 times per week,Never,1-2 times per month,1-2 times per week,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4964324178,Other,Hispanic or Latino,26-35,Over 20 miles,5+ times per week,5+ times per week,1-2 times per month,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4964313529,Male,Decline to state,26-35,,,,,,1-2 days per week,No,Yes,No,,,Recreation,Exercise (not on a stationary bike)
4964259260,Male,White,46-55,6-10 miles,1-2 times per week,1-2 times per month,Never,Never,1-2 times per month,No,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4964242123,Female,Hispanic or Latino,36-45,,,,,,,,,,,,,Exercise (not on a stationary bike)
4964003037,Male,Hispanic or Latino,36-45,,,,,,3-4 days per week,No,Yes,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4963832661,Female,Hispanic or Latino,18-25,6-10 miles,5+ times per week,3-4 times per week,5+ times per week,5+ times per week,5+ days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,,,
4957165509,Male,Asian,26-35,11-20 miles,3-4 times per week,1-2 times per month,Never,Never,1-2 times per month,,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4957109903,Female,White,Over 56,,,,,,3-4 days per week,,,,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4955795214,Female,Hispanic or Latino,26-35,6-10 miles,5+ times per week,Never,Never,Never,1-2 times per month,,,"Yes, walking",,,Recreation,
4942269876,Male,Black or African American,18-25,2-5 miles,5+ times per week,Never,Never,Never,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,,Recreation,
4942266893,Male,White,Over 56,,,,,,3-4 days per week,,,,,,Recreation,Exercise (not on a stationary bike)
4942236420,Male,White,Over 56,,,,,,3-4 days per week,,,,,,Recreation,Exercise (not on a stationary bike)
4942228771,Female,White,Over 56,,5+ times per week,,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4942221891,Female,Asian,36-45,11-20 miles,3-4 times per week,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",,,Recreation,
4942214020,Male,Asian,36-45,,,,,,1-2 times per month,Yes,No,No,,Be Environmentally Friendly,Recreation,
4942209728,Male,Asian,Under 13,,,,,,5+ days per week,Yes,No,No,,,Recreation,
4942204065,Female,Asian,18-25,6-10 miles,3-4 times per week,Never,1-2 times per month,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4942191971,Male,White,46-55,,Never,Never,Never,Never,3-4 days per week,Yes,Yes,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4942185303,Female,White,Over 56,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,,,,,Exercise (not on a stationary bike)
4942178995,Female,Asian,26-35,6-10 miles,3-4 times per week,1-2 times per week,,,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4942168521,Female,Asian,36-45,Under 2 miles,,,,5+ times per week,,Yes,No,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4942163135,Female,Asian,36-45,11-20 miles,5+ times per week,,,,,Yes,No,No,,,Recreation,Exercise (not on a stationary bike)
4942158082,Male,Hispanic or Latino,36-45,11-20 miles,3-4 times per week,1-2 times per month,1-2 times per month,Never,1-2 days per week,Yes,Yes,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4942152181,Female,Asian,46-55,,,,,,1-2 times per month,No,No,No,,,Recreation,
4942142694,Male,Decline to state,Over 56,,,,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,No,,,Recreation,Exercise (not on a stationary bike)
4942135216,Male,White,Over 56,11-20 miles,1-2 times per week,3-4 times per week,Never,Never,1-2 days per week,Yes,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4942119048,Male,Asian,13-17,2-5 miles,3-4 times per week,Never,3-4 times per week,1-2 times per week,3-4 days per week,Yes,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4942106628,Female,White,Over 56,,,,,,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",,No,,,Recreation,Exercise (not on a stationary bike)
4942074017,Female,Other (please specify),46-55,11-20 miles,3-4 times per week,,,,1-2 days per week,No,No,No,,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4942055843,Male,Asian,36-45,2-5 miles,5+ times per week,,,,3-4 days per week,Yes,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4942051215,Male,White,Over 56,Over 20 miles,,,1-2 times per month,,1-2 days per week,Yes,No,,,,Recreation,
4942018265,Female,Asian,46-55,,,,,,,Yes,No,"Yes, biking",,Be Environmentally Friendly,Recreation,
4942001870,Female,Hispanic or Latino,Over 56,6-10 miles,3-4 times per week,1-2 times per month,Never,1-2 times per month,1-2 times per month,Yes,No,"Yes, biking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4933258956,Male,White,36-45,2-5 miles,3-4 times per week,1-2 times per month,Never,Never,,,,,,,Recreation,
4932534955,Male,White,36-45,2-5 miles,1-2 times per month,1-2 times per week,3-4 times per week,Never,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4929948682,Female,Hispanic or Latino,36-45,,,,,3-4 times per week,1-2 days per week,,Yes,No,,,,
4929943225,Female,Hispanic or Latino,46-55,2-5 miles,5+ times per week,,,,,No,,,,,,
4929939225,Female,Hispanic or Latino,36-45,2-5 miles,,1-2 times per month,,,1-2 times per month,No,No,No,,Be Environmentally Friendly,,
4929935040,Female,Hispanic or Latino,36-45,Under 2 miles,3-4 times per week,,5+ times per week,,5+ days per week,Yes,No,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
4929929450,Male,Hispanic or Latino,26-35,2-5 miles,,,1-2 times per month,,1-2 days per week,No,No,No,,Be Environmentally Friendly,,
4929924643,Male,Hispanic or Latino,18-25,2-5 miles,1-2 times per month,,3-4 times per week,,1-2 days per week,No,No,,To commute to school or work,,,
4929910930,Female,Hispanic or Latino,26-35,2-5 miles,3-4 times per week,,,,,Yes,,,To commute to school or work,Be Environmentally Friendly,,
4929906742,Female,Hispanic or Latino,36-45,Under 2 miles,,,,5+ times per week,,,No,No,To commute to school or work,,,
4929901021,,,36-45,Under 2 miles,Never,1-2 times per month,,1-2 times per month,,No,,,,,,
4929895636,Female,Hispanic or Latino,26-35,Under 2 miles,1-2 times per month,1-2 times per month,,3-4 times per week,1-2 days per week,No,No,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
4929891214,Female,Hispanic or Latino,26-35,2-5 miles,1-2 times per week,1-2 times per week,Never,5+ times per week,,Yes,,,To commute to school or work,,,
4929886258,Male,Hispanic or Latino,26-35,11-20 miles,3-4 times per week,,,,1-2 times per month,Yes,,,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4929880210,Female,,26-35,2-5 miles,,5+ times per week,5+ times per week,5+ times per week,,No,No,No,To commute to school or work,,,
4929870826,Female,Hispanic or Latino,26-35,,,,,5+ times per week,,No,No,No,,,,Exercise (not on a stationary bike)
4929851187,Female,Hispanic or Latino,36-45,,,,,,,Yes,No,No,,Be Environmentally Friendly,,
4929846928,Male,Hispanic or Latino,36-45,2-5 miles,,,,5+ times per week,,No,No,"Yes, walking",,,,
4929842069,Male,Hispanic or Latino,36-45,11-20 miles,5+ times per week,,,,1-2 times per month,Yes,No,No,,,,Exercise (not on a stationary bike)
4929839438,Female,Hispanic or Latino,26-35,6-10 miles,1-2 times per month,,,,1-2 days per week,,,,,,,
4929836960,Female,Hispanic or Latino,26-35,,1-2 times per week,,,5+ times per week,,,,,To commute to school or work,,,
4929829184,,,36-45,Under 2 miles,,,,,,No,Yes,No,,,,
4929824842,Female,Hispanic or Latino,18-25,2-5 miles,,,1-2 times per month,,,Yes,,,,,,
4929820369,Female,Hispanic or Latino,Over 56,Under 2 miles,,,,5+ times per week,,Yes,Yes,"Yes, biking",To commute to school or work,,,Exercise (not on a stationary bike)
4929815561,Male,Hispanic or Latino,36-45,Over 20 miles,,5+ times per week,,,,No,No,No,,,,
4929805570,Female,Hispanic or Latino,36-45,Under 2 miles,,,1-2 times per month,,1-2 times per month,Yes,No,No,,,,Exercise (not on a stationary bike)
4928212179,Female,,26-35,Under 2 miles,,,,5+ times per week,,No,No,No,To commute to school or work,,,
4928207154,Female,White,36-45,Under 2 miles,3-4 times per week,Never,1-2 times per week,1-2 times per week,,No,No,No,,,,Exercise (not on a stationary bike)
4928186378,Female,Hispanic or Latino,36-45,Over 20 miles,5+ times per week,,,,1-2 times per month,No,No,No,,,,Exercise (not on a stationary bike)
4928176836,Female,Hispanic or Latino,36-45,Under 2 miles,Never,1-2 times per week,Never,5+ times per week,1-2 times per month,Yes,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,
4928158799,Female,Hispanic or Latino,36-45,,,,,,3-4 days per week,No,No,No,,,,Exercise (not on a stationary bike)
4928141608,Female,Hispanic or Latino,36-45,Under 2 miles,,,,5+ times per week,,No,No,No,,,,
4928124780,Female,Hispanic or Latino,26-35,Under 2 miles,5+ times per week,,,,1-2 days per week,No,,,,,,Exercise (not on a stationary bike)
4928121369,Female,Hispanic or Latino,46-55,Under 2 miles,,5+ times per week,,5+ times per week,,Yes,No,No,,,,
4928118062,Female,Hispanic or Latino,36-45,Under 2 miles,,,,3-4 times per week,,Yes,,,,Be Environmentally Friendly,,
4928115242,Female,Hispanic or Latino,36-45,,3-4 times per week,,,1-2 times per month,,No,No,No,,,,Exercise (not on a stationary bike)
4928111637,Female,Hispanic or Latino,26-35,2-5 miles,,,,5+ times per week,,Yes,Yes,"Yes, walking",To commute to school or work,,,Exercise (not on a stationary bike)
4928107851,Female,Hispanic or Latino,36-45,Under 2 miles,,,,5+ times per week,1-2 days per week,No,No,No,To commute to school or work,Be Environmentally Friendly,,
4928103663,Female,Hispanic or Latino,26-35,Under 2 miles,1-2 times per week,1-2 times per week,,5+ times per week,,Yes,,,To commute to school or work,,,
4928100148,Female,White,26-35,6-10 miles,,,,1-2 times per month,,Yes,No,No,,,,Exercise (not on a stationary bike)
4928091841,Female,Hispanic or Latino,36-45,2-5 miles,Never,5+ times per week,Never,5+ times per week,,Yes,Yes,"Yes, walking",,Be Environmentally Friendly,,
4928085066,Female,White,46-55,,,,,,,Yes,No,No,,,,Exercise (not on a stationary bike)
4928078589,Female,Hispanic or Latino,26-35,Under 2 miles,5+ times per week,,,,1-2 times per month,No,No,No,,,,
4928058823,Female,Hispanic or Latino,46-55,2-5 miles,,,,1-2 times per week,,No,No,"Yes, walking",,,,
4928055356,Female,,36-45,Under 2 miles,,5+ times per week,,,,Yes,Yes,,,,,
4928050979,Female,Hispanic or Latino,36-45,Under 2 miles,5+ times per week,Never,Never,5+ times per week,1-2 times per month,No,,,,,,Exercise (not on a stationary bike)
4928045677,Female,Hispanic or Latino,26-35,2-5 miles,,1-2 times per month,5+ times per week,5+ times per week,5+ days per week,,,,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4928042544,Male,Hispanic or Latino,13-17,Under 2 miles,,,,5+ times per week,,,,,,,,
4928035510,Female,Hispanic or Latino,26-35,Under 2 miles,,,1-2 times per month,5+ times per week,1-2 days per week,No,No,No,,,,
4928023103,Female,Hispanic or Latino,36-45,Under 2 miles,,1-2 times per week,,1-2 times per week,,Yes,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4928018858,Female,Hispanic or Latino,18-25,6-10 miles,3-4 times per week,1-2 times per week,1-2 times per week,1-2 times per month,1-2 days per week,,,,To commute to school or work,,,Exercise (not on a stationary bike)
4928014389,Female,Hispanic or Latino,36-45,,,,,5+ times per week,,Yes,No,,To commute to school or work,,,
4928010413,Female,Hispanic or Latino,26-35,Under 2 miles,,,1-2 times per month,1-2 times per week,1-2 days per week,Yes,No,No,,Be Environmentally Friendly,,
4928004535,Male,,26-35,2-5 miles,3-4 times per week,,1-2 times per month,,1-2 days per week,Yes,No,,,Be Environmentally Friendly,,
4927991827,Male,Asian,46-55,Under 2 miles,,,,3-4 times per week,,Yes,No,No,To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4927988857,Female,Hispanic or Latino,26-35,2-5 miles,5+ times per week,,,,,,,,,,,Exercise (not on a stationary bike)
4927985140,Female,Hispanic or Latino,46-55,6-10 miles,,5+ times per week,,,,,No,"Yes, biking",To commute to school or work,,,
4927956497,Female,Hispanic or Latino,26-35,Under 2 miles,1-2 times per week,Never,Never,5+ times per week,,No,,,To commute to school or work,,,
4927950350,Male,Hispanic or Latino,26-35,6-10 miles,1-2 times per month,5+ times per week,Never,5+ times per week,,No,No,No,To commute to school or work,,,
4927945723,Female,,13-17,2-5 miles,Never,1-2 times per week,1-2 times per week,5+ times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,,,
4927941470,Female,Hispanic or Latino,26-35,,,,,,1-2 times per month,Yes,No,"Yes, biking",,,,Exercise (not on a stationary bike)
4927937688,Female,Hispanic or Latino,18-25,,,,,,,No,No,No,,,,
4927922490,Male,Hispanic or Latino,Over 56,,,,,,5+ days per week,No,Yes,"Yes, biking",,,,Exercise (not on a stationary bike)
4927918642,Female,Hispanic or Latino,13-17,Under 2 miles,,,,,,No,No,No,,,,
4927891117,Female,Hispanic or Latino,26-35,,,,,,3-4 days per week,No,No,No,,,,Exercise (not on a stationary bike)
4927886520,Female,Hispanic or Latino,18-25,,3-4 times per week,1-2 times per week,,,,No,No,No,,,,Exercise (not on a stationary bike)
4927882526,Female,Hispanic or Latino,26-35,Under 2 miles,3-4 times per week,,,1-2 times per month,,,,,,,,
4927876869,Female,Hispanic or Latino,26-35,11-20 miles,3-4 times per week,1-2 times per week,,1-2 times per week,1-2 times per month,Yes,No,No,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4927871146,Female,Hispanic or Latino,26-35,Under 2 miles,3-4 times per week,1-2 times per month,1-2 times per week,5+ times per week,1-2 times per month,Yes,No,No,To commute to school or work,,,Exercise (not on a stationary bike)
4927864788,Female,Hispanic or Latino,18-25,6-10 miles,5+ times per week,1-2 times per week,1-2 times per month,1-2 times per month,1-2 times per month,No,No,No,To commute to school or work,,,
4927823677,Female,Hispanic or Latino,26-35,6-10 miles,1-2 times per month,,1-2 times per month,1-2 times per month,1-2 times per month,Yes,Yes,"Yes, walking",To commute to school or work,,,
4914954843,Male,Asian,26-35,Under 2 miles,Never,Never,Never,5+ times per week,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,,
4914225958,Female,White,Over 56,6-10 miles,5+ times per week,1-2 times per month,,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, walking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4912982596,Female,White,18-25,2-5 miles,5+ times per week,5+ times per week,Never,5+ times per week,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, walking",To commute to school or work,,,
4912972674,Male,Hispanic or Latino,26-35,11-20 miles,3-4 times per week,Never,Never,Never,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4912959433,Male,Asian,Over 56,Under 2 miles,Never,1-2 times per month,5+ times per week,5+ times per week,1-2 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4912951493,Male,White,26-35,2-5 miles,Never,5+ times per week,Never,5+ times per week,1-2 times per month,No,No,"Yes, walking",To commute to school or work,,,Exercise (not on a stationary bike)
4912921054,Female,White,46-55,6-10 miles,5+ times per week,Never,Never,Never,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, walking",,,Recreation,Exercise (not on a stationary bike)
4912907017,Female,White,Over 56,11-20 miles,1-2 times per month,5+ times per week,Never,5+ times per week,1-2 times per month,,,,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4912843414,Female,Other (please specify),Over 56,,5+ times per week,,1-2 times per month,1-2 times per month,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4912757838,Female,Decline to state,Over 56,2-5 miles,Never,5+ times per week,,5+ times per week,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, walking",To commute to school or work,,Recreation,
4912755884,Female,Other (please specify),36-45,11-20 miles,3-4 times per week,1-2 times per week,1-2 times per week,,1-2 times per month,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,"Yes, biking",To commute to school or work,,Recreation,Exercise (not on a stationary bike)
4912657326,Male,Hispanic or Latino,18-25,Over 20 miles,5+ times per week,Never,Never,Never,,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",Yes,"Yes, biking",,,Recreation,Exercise (not on a stationary bike)
4912373261,Male,Asian,26-35,6-10 miles,1-2 times per week,Never,5+ times per week,Never,5+ days per week,Yes,Yes,"Yes, biking",To commute to school or work,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4912024556,Male,Hispanic or Latino,26-35,2-5 miles,1-2 times per week,1-2 times per week,5+ times per week,1-2 times per month,3-4 days per week,,,,To commute to school or work,,,
4911559293,Female,White,18-25,Under 2 miles,Never,Never,3-4 times per week,1-2 times per week,3-4 days per week,"Not applicable, I do not have children under 18. <strong>Skip to Question 19.</strong>",No,No,To commute to school or work,Be Environmentally Friendly,,Exercise (not on a stationary bike)
4911557749,Female,Hispanic or Latino,36-45,,,,,,1-2 times per month,Yes,Yes,"Yes, biking",,,Recreation,
4911526606,Male,Asian,36-45,,,,,,1-2 times per month,,No,"Yes, walking",,Be Environmentally Friendly,Recreation,Exercise (not on a stationary bike)
4910827418,Male,Asian,26-35,11-20 miles,5+ times per week,1-2 times per month,1-2 times per month,1-2 times per month,1-2 days per week,,,,,,Recreation,
